Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1961","1961","g/capita/day","43.46","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1962","1962","g/capita/day","45.14","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1963","1963","g/capita/day","39.23","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1964","1964","g/capita/day","43.99","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1965","1965","g/capita/day","49.79","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1966","1966","g/capita/day","62.95","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1967","1967","g/capita/day","75.64","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1968","1968","g/capita/day","50.81","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1969","1969","g/capita/day","81.2","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1970","1970","g/capita/day","68.3","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1971","1971","g/capita/day","76.96","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1972","1972","g/capita/day","76.81","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1973","1973","g/capita/day","67.44","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1974","1974","g/capita/day","57.58","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1975","1975","g/capita/day","73.13","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1976","1976","g/capita/day","65.16","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1977","1977","g/capita/day","46.69","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1978","1978","g/capita/day","75.43","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1979","1979","g/capita/day","78.27","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1980","1980","g/capita/day","78.55","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1981","1981","g/capita/day","49.13","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1982","1982","g/capita/day","67.7","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1983","1983","g/capita/day","54.85","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1984","1984","g/capita/day","57.59","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1985","1985","g/capita/day","38.3","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1986","1986","g/capita/day","47.85","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1987","1987","g/capita/day","51.38","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1988","1988","g/capita/day","90.21","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1989","1989","g/capita/day","92.07","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1990","1990","g/capita/day","77.31","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1991","1991","g/capita/day","92.75","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1992","1992","g/capita/day","141.24","Fc","Calculated data"
"CC","Food Supply - Crops Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2617","Apples and products","1993","1993","g/capita/day","97.42","Fc","Calculated data"
