Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1961","1961","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1962","1962","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1963","1963","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1964","1964","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1965","1965","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1966","1966","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1967","1967","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1968","1968","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1969","1969","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1970","1970","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1971","1971","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1972","1972","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1973","1973","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1974","1974","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1975","1975","g/capita/day","0","Fc","Calculated data"
