Income..World.Bank.,Country
High income,Antigua and Barbuda
High income,Australia
High income,Austria
High income,Bahamas
High income,Barbados
High income,Belgium
High income,Canada
High income,Chile
High income,Croatia
High income,Cyprus
High income,Denmark
High income,Estonia
High income,Finland
High income,France
High income,Germany
High income,Greece
High income,Hungary
High income,Iceland
High income,Ireland
High income,Israel
High income,Italy
High income,Japan
High income,Latvia
High income,Malta
High income,Netherlands
High income,New Zealand
High income,Norway
High income,Poland
High income,Portugal
High income,Republic of Korea
High income,Romania
High income,Saint Kitts and Nevis
High income,Slovenia
High income,Spain
High income,Sweden
High income,Switzerland
High income,United Arab Emirates
High income,United Kingdom of Great Britain and Northern Ireland
High income,United States of America
High income,Uruguay
Low income,Afghanistan
Low income,Sierra Leone
Lower middle income,Bangladesh
Lower middle income,Benin
Lower middle income,Bolivia (Plurinational State of)
Lower middle income,El Salvador
Lower middle income,Honduras
Lower middle income,India
Lower middle income,Kenya
Lower middle income,Mongolia
Lower middle income,Nepal
Lower middle income,Nigeria
Lower middle income,Philippines
Lower middle income,Sri Lanka
Lower middle income,Viet Nam
Upper middle income,Albania
Upper middle income,Argentina
Upper middle income,Belize
Upper middle income,Bosnia and Herzegovina
Upper middle income,Brazil
Upper middle income,Bulgaria
Upper middle income,China
Upper middle income,Colombia
Upper middle income,Costa Rica
Upper middle income,Cuba
Upper middle income,Dominica
Upper middle income,Dominican Republic
Upper middle income,Ecuador
Upper middle income,Fiji
Upper middle income,Georgia
Upper middle income,Grenada
Upper middle income,Guatemala
Upper middle income,Guyana
Upper middle income,Indonesia
Upper middle income,Iran (Islamic Republic of)
Upper middle income,Jamaica
Upper middle income,Lebanon
Upper middle income,Malaysia
Upper middle income,Mexico
Upper middle income,Namibia
Upper middle income,North Macedonia
Upper middle income,Paraguay
Upper middle income,Peru
Upper middle income,Saint Lucia
Upper middle income,Saint Vincent and the Grenadines
Upper middle income,South Africa
Upper middle income,Thailand
Upper middle income,Turkey
Upper middle income,Venezuela (Bolivarian Republic of)
