WB.region,Country
East Asia and Pacific,Australia
East Asia and Pacific,China
East Asia and Pacific,Fiji
East Asia and Pacific,Indonesia
East Asia and Pacific,Japan
East Asia and Pacific,Malaysia
East Asia and Pacific,Mongolia
East Asia and Pacific,New Zealand
East Asia and Pacific,Philippines
East Asia and Pacific,Republic of Korea
East Asia and Pacific,Thailand
East Asia and Pacific,Viet Nam
Europe and Central Asia,Albania
Europe and Central Asia,Austria
Europe and Central Asia,Belgium
Europe and Central Asia,Bosnia and Herzegovina
Europe and Central Asia,Bulgaria
Europe and Central Asia,Croatia
Europe and Central Asia,Cyprus
Europe and Central Asia,Denmark
Europe and Central Asia,Estonia
Europe and Central Asia,Finland
Europe and Central Asia,France
Europe and Central Asia,Georgia
Europe and Central Asia,Germany
Europe and Central Asia,Greece
Europe and Central Asia,Hungary
Europe and Central Asia,Iceland
Europe and Central Asia,Ireland
Europe and Central Asia,Italy
Europe and Central Asia,Latvia
Europe and Central Asia,Netherlands
Europe and Central Asia,North Macedonia
Europe and Central Asia,Norway
Europe and Central Asia,Poland
Europe and Central Asia,Portugal
Europe and Central Asia,Romania
Europe and Central Asia,Slovenia
Europe and Central Asia,Spain
Europe and Central Asia,Sweden
Europe and Central Asia,Switzerland
Europe and Central Asia,Turkey
Europe and Central Asia,United Kingdom of Great Britain and Northern Ireland
Latin America & the Caribbean,Antigua and Barbuda
Latin America & the Caribbean,Argentina
Latin America & the Caribbean,Bahamas
Latin America & the Caribbean,Barbados
Latin America & the Caribbean,Belize
Latin America & the Caribbean,Bolivia (Plurinational State of)
Latin America & the Caribbean,Brazil
Latin America & the Caribbean,Chile
Latin America & the Caribbean,Colombia
Latin America & the Caribbean,Costa Rica
Latin America & the Caribbean,Cuba
Latin America & the Caribbean,Dominica
Latin America & the Caribbean,Dominican Republic
Latin America & the Caribbean,Ecuador
Latin America & the Caribbean,El Salvador
Latin America & the Caribbean,Grenada
Latin America & the Caribbean,Guatemala
Latin America & the Caribbean,Guyana
Latin America & the Caribbean,Honduras
Latin America & the Caribbean,Jamaica
Latin America & the Caribbean,Mexico
Latin America & the Caribbean,Paraguay
Latin America & the Caribbean,Peru
Latin America & the Caribbean,Saint Kitts and Nevis
Latin America & the Caribbean,Saint Lucia
Latin America & the Caribbean,Saint Vincent and the Grenadines
Latin America & the Caribbean,Uruguay
Latin America & the Caribbean,Venezuela (Bolivarian Republic of)
Middle East and North Africa,Iran (Islamic Republic of)
Middle East and North Africa,Israel
Middle East and North Africa,Lebanon
Middle East and North Africa,Malta
Middle East and North Africa,United Arab Emirates
North America,Canada
North America,United States of America
South Asia,Afghanistan
South Asia,Bangladesh
South Asia,India
South Asia,Nepal
South Asia,Sri Lanka
Sub-Saharan Africa,Benin
Sub-Saharan Africa,Kenya
Sub-Saharan Africa,Namibia
Sub-Saharan Africa,Nigeria
Sub-Saharan Africa,Sierra Leone
Sub-Saharan Africa,South Africa
