food.system,Country
Emerging and Diversifying,Barbados
Emerging and Diversifying,Belize
Emerging and Diversifying,Bosnia and Herzegovina
Emerging and Diversifying,China
Emerging and Diversifying,Ecuador
Emerging and Diversifying,El Salvador
Emerging and Diversifying,Fiji
Emerging and Diversifying,Jamaica
Emerging and Diversifying,Mexico
Emerging and Diversifying,Mongolia
Emerging and Diversifying,Namibia
Emerging and Diversifying,Paraguay
Emerging and Diversifying,Peru
Emerging and Diversifying,Romania
Emerging and Diversifying,Saint Lucia
Emerging and Diversifying,South Africa
Industrialised and Consolidated,Argentina
Industrialised and Consolidated,Australia
Industrialised and Consolidated,Austria
Industrialised and Consolidated,Bahamas
Industrialised and Consolidated,Belgium
Industrialised and Consolidated,Canada
Industrialised and Consolidated,Cyprus
Industrialised and Consolidated,Denmark
Industrialised and Consolidated,Estonia
Industrialised and Consolidated,Finland
Industrialised and Consolidated,France
Industrialised and Consolidated,Germany
Industrialised and Consolidated,Greece
Industrialised and Consolidated,Hungary
Industrialised and Consolidated,Iceland
Industrialised and Consolidated,Israel
Industrialised and Consolidated,Italy
Industrialised and Consolidated,Japan
Industrialised and Consolidated,Malta
Industrialised and Consolidated,Netherlands
Industrialised and Consolidated,New Zealand
Industrialised and Consolidated,Norway
Industrialised and Consolidated,Spain
Industrialised and Consolidated,Sweden
Industrialised and Consolidated,Switzerland
Industrialised and Consolidated,United Kingdom of Great Britain and Northern Ireland
Industrialised and Consolidated,United States of America
Industrialised and Consolidated,Uruguay
Informal and Expanding,Bolivia (Plurinational State of)
Informal and Expanding,Georgia
Informal and Expanding,Guatemala
Informal and Expanding,Honduras
Informal and Expanding,Indonesia
Informal and Expanding,Nigeria
Informal and Expanding,Philippines
Informal and Expanding,Sri Lanka
Informal and Expanding,Thailand
Informal and Expanding,Viet Nam
Modernising and Formalising,Albania
Modernising and Formalising,Brazil
Modernising and Formalising,Bulgaria
Modernising and Formalising,Chile
Modernising and Formalising,Colombia
Modernising and Formalising,Costa Rica
Modernising and Formalising,Croatia
Modernising and Formalising,Dominican Republic
Modernising and Formalising,Ireland
Modernising and Formalising,Latvia
Modernising and Formalising,Lebanon
Modernising and Formalising,Malaysia
Modernising and Formalising,North Macedonia
Modernising and Formalising,Poland
Modernising and Formalising,Portugal
Modernising and Formalising,Republic of Korea
Modernising and Formalising,Slovenia
Modernising and Formalising,Turkey
Modernising and Formalising,United Arab Emirates
Modernising and Formalising,Venezuela (Bolivarian Republic of)
Rural and Traditional,Afghanistan
Rural and Traditional,Bangladesh
Rural and Traditional,Benin
Rural and Traditional,India
Rural and Traditional,Kenya
Rural and Traditional,Nepal
Rural and Traditional,Sierra Leone
NA,Antigua and Barbuda
NA,Cuba
NA,Dominica
NA,Grenada
NA,Guyana
NA,Iran (Islamic Republic of)
NA,Saint Kitts and Nevis
NA,Saint Vincent and the Grenadines
